Date,A2A,AMP,AZM,BMED,BMPS,BAMI,BPE,BC,BZU,CPR,DIA,ENEL,ENI,RACE,FBK,G,HER,IP,ISP,INW,IG,IVG,LDO,MB,MONC,NEXI,PIRC,PST,PRY,REC,SPM,SRG,STLAM,STMMI,TIT,TEN,TRN,UCG,UNI
1990-03-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.08,NaN,NaN,NaN,NaN,NaN,NaN,7.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.99,NaN,NaN,NaN,NaN,NaN,NaN,5.18,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN
1990-03-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.1,NaN,NaN,NaN,NaN,NaN,NaN,7.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.04,NaN,NaN,NaN,NaN,NaN,NaN,5.16,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN
1990-03-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.02,NaN,NaN,NaN,NaN,NaN,NaN,7.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.08,NaN,NaN,NaN,NaN,NaN,NaN,5.14,NaN,NaN,NaN,0.54,NaN,NaN,NaN,NaN
1990-03-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.09,NaN,NaN,NaN,NaN,NaN,NaN,7.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.04,NaN,NaN,NaN,NaN,NaN,NaN,5.29,NaN,NaN,NaN,0.54,NaN,NaN,NaN,NaN
1990-03-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.11,NaN,NaN,NaN,NaN,NaN,NaN,7.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.04,NaN,NaN,NaN,NaN,NaN,NaN,5.45,NaN,NaN,NaN,0.54,NaN,NaN,NaN,NaN
1990-03-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.11,NaN,NaN,NaN,NaN,NaN,NaN,7.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.06,NaN,NaN,NaN,NaN,NaN,NaN,5.6,NaN,NaN,NaN,0.55,NaN,NaN,NaN,NaN
1990-03-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.06,NaN,NaN,NaN,NaN,NaN,NaN,7.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.01,NaN,NaN,NaN,NaN,NaN,NaN,5.58,NaN,NaN,NaN,0.55,NaN,NaN,NaN,NaN
1990-03-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.04,NaN,NaN,NaN,NaN,NaN,NaN,7.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.06,NaN,NaN,NaN,NaN,NaN,NaN,5.38,NaN,NaN,NaN,0.55,NaN,NaN,NaN,NaN
1990-03-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.01,NaN,NaN,NaN,NaN,NaN,NaN,7.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.21,NaN,NaN,NaN,NaN,NaN,NaN,5.45,NaN,NaN,NaN,0.56,NaN,NaN,NaN,NaN
1990-03-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.06,NaN,NaN,NaN,NaN,NaN,NaN,7.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.26,NaN,NaN,NaN,NaN,NaN,NaN,5.49,NaN,NaN,NaN,0.56,NaN,NaN,NaN,NaN
